,char,tag
10,"['《', '死', '亡', '塔', '》', ' ', '(', '1', '9', '8', '1', ')', '执', '行', '导', '演', '《', '飞', '龙', '猛', '将', '》', ' ', '(', '1', '9', '8', '8', ')', '获', '奖', '记', '录', '人', '物', '评', '价', '元', '奎', '的', '动', '作', '设', '计', '飘', '逸', '洒', '脱', '，', '又', '快', '速', '绝', '伦', '，', '能', '体', '现', '中', '华', '武', '术', '的', '精', '髓']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_影视作品', 'M_影视作品', 'M_影视作品', 'E_影视作品', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11,"['《', '如', '果', '我', '爱', '你', '》', '是', '由', '海', '润', '影', '视', '与', '明', '道', '工', '作', '室', '联', '合', '出', '品', '，', '徐', '辅', '军', '执', '导', '，', '明', '道', '、', '李', '沁', '、', '胡', '兵', '、', '白', '歆', '惠', '、', '狄', '杰', '等', '人', '气', '明', '星', '联', '袂', '主', '演', '的', '浪', '漫', '偶', '像', '剧']","['O', 'B_影视作品', 'M_影视作品', 'M_影视作品', 'M_影视作品', 'E_影视作品', 'O', 'O', 'O', 'B_企业', 'M_企业', 'M_企业', 'E_企业', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['个', '人', '信', '息', '姓', '名', '：', '伊', '万', '-', '佩', '恩', ' ', 'e', 'r', 'w', 'a', 'n', ' ', 'p', 'e', 'r', 'o', 'n', ' ', '(', '法', '国', ')', ' ', ' ', '国', '籍', '：', '法', '国', ' ', ' ', '性', '别', '：', '男', ' ', ' ', '生', '日', '：', '1', '9', '8', '0']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_人物', 'M_人物', 'M_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_国家', 'E_国家', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13,"['《', '是', '我', '不', '小', '心', '》', '是', '陈', '明', '演', '唱', '的', '一', '首', '歌', '曲', '，', '收', '录', '在', '专', '辑', '《', '相', '信', '你', '总', '会', '被', '我', '感', '动', '》', '当', '中']","['O', 'B_歌曲', 'M_歌曲', 'M_歌曲', 'M_歌曲', 'E_歌曲', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_音乐专辑', 'M_音乐专辑', 'M_音乐专辑', 'M_音乐专辑', 'M_音乐专辑', 'M_音乐专辑', 'M_音乐专辑', 'M_音乐专辑', 'E_音乐专辑', 'O', 'O', 'O']"
14,"['覃', '林', '盛', '，', '湖', '北', '力', '帝', '机', '床', '股', '份', '有', '限', '公', '司', '董', '事', '长', '，', '在', '机', '械', '制', '造', '行', '业', '已', '辛', '勤', '耕', '耘', '了', '三', '十', '余', '年', '，', '在', '董', '事', '长', '兼', '总', '经', '理', '的', '岗', '位', '上', '也', '有', '十', '多', '年', '的', '经', '历', '，', '并', '曾', '在', '美', '国', '学', '习', '金', '融', '及', '工', '商', '管', '理', '，', '回', '国', '后', '在', '华', '中', '理', '工', '大', '学', '攻', '读', '工', '商', '管', '理', '获', '得', '管', '理', '工', '程', '硕', '士', '学', '位']","['B_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_学校', 'M_学校', 'M_学校', 'M_学校', 'M_学校', 'E_学校', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,"['2', '0', '1', '5', '年', '1', '0', '月', '1', '3', '日', '，', '北', '京', '龙', '泉', '寺', '举', '行', '装', '藏', '法', '会', '，', '贤', '佳', '法', '师', '主', '持']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_城市', 'E_城市', 'B_景点', 'M_景点', 'E_景点', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"['0', '后', '的', '第', '三', '波', '主', '持', '人', '：', '纳', '豆', '、', '夏', '宇', '童', '-', '(', '代', '班', '2', '周', ')', ' ', '节', '目', '改', '名', '电', '玩', '快', '打', ' ', 'v', 'e', 'r', ' ', '2']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_电视综艺', 'M_电视综艺', 'M_电视综艺', 'E_电视综艺', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['”', '观', '察', '人', '士', '认', '为', '，', '国', '家', '宣', '传', '在', '朝', '鲜', '三', '位', '领', '导', '人', '金', '日', '成', '(', 'k', 'i', 'm', ' ', 'i', 'l', '-', 's', 'u', 'n', 'g', ')', '、', '金', '正', '日', '(', 'k', 'i', 'm', ' ', 'j', 'o', 'n', 'g', '-', 'i', 'l', ')', '和', '金', '正', '恩', '(', 'k', 'i', 'm', ' ', 'j', 'o', 'n', 'g', '-', 'u', 'n', ')', '周', '围', '创', '造', '了', '一', '种', '近', '乎', '神', '圣', '的', '光', '环', '，', '以', '确', '保', '政', '权', '的', '合', '法', '性', '被', '安', '全', '地', '转', '移', '到', '下', '一', '代']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_国家', 'E_国家', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18,"['《', '祖', '圣', '》', '是', '一', '部', '连', '载', '于', '1', '7', 'k', '小', '说', '网', '的', '东', '方', '玄', '幻', '类', '型', '的', '小', '说', '，', '作', '者', '是', '证', '道']","['O', 'B_网络小说', 'E_网络小说', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_网站', 'M_网站', 'M_网站', 'M_网站', 'M_网站', 'E_网站', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,"['彼', '得', '·', '盖', '布', '瑞', '尔', '（', 'p', 'e', 't', 'e', 'r', ' ', 'g', 'a', 'b', 'r', 'i', 'e', 'l', '，', '1', '9', '5', '0', '年', '2', '月', '1', '3', '日', '－', '）', '出', '生', '地', '是', '英', '国', '伦', '敦', '，', '是', '英', '国', '音', '乐', '家']","['B_人物', 'M_人物', 'M_人物', 'M_人物', 'M_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_国家', 'E_国家', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,"['佩', '科', '维', '奇', '，', '1', '9', '8', '6', '年', '1', '月', '出', '生', '于', '塞', '尔', '维', '亚', '贝', '尔', '格', '莱', '德', '，', '目', '前', '效', '力', '菲', '尔', '特', '俱', '乐', '部']","['B_人物', 'M_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_地点', 'M_地点', 'M_地点', 'M_地点', 'M_地点', 'M_地点', 'M_地点', 'M_地点', 'E_地点', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
21,"['阿', '方', '索', '十', '二', '世', '是', '西', '班', '牙', '女', '王', '伊', '莎', '贝', '拉', '二', '世', '之', '子', '，', '生', '于', '马', '德', '里']","['B_人物', 'M_人物', 'M_人物', 'M_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_地点', 'M_地点', 'E_地点']"
22,"['《', '风', '雪', '古', '城', '大', '院', '人', '》', '是', '连', '载', '于', '1', '7', 'k', '小', '说', '网', '的', '热', '血', '青', '春', '小', '说', '，', '作', '者', '是', '舒', '穆', '禄', '鄂', '特', '恩']","['O', 'B_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'E_网络小说', 'O', 'O', 'O', 'O', 'O', 'B_网站', 'M_网站', 'M_网站', 'M_网站', 'M_网站', 'E_网站', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,"['《', '我', '们', '的', '少', '年', '时', '代', '》', '是', '由', '湖', '南', '卫', '视', '、', '湖', '南', '芒', '果', '娱', '乐', '有', '限', '公', '司', '、', '北', '京', '时', '代', '峰', '峻', '文', '化', '艺', '术', '发', '展', '有', '限', '公', '司', '、', '上', '象', '星', '作', '影', '视', '联', '合', '出', '品', '的', '青', '春', '励', '志', '剧']","['O', 'B_影视作品', 'M_影视作品', 'M_影视作品', 'M_影视作品', 'M_影视作品', 'M_影视作品', 'E_影视作品', 'O', 'O', 'O', 'B_企业', 'M_企业', 'M_企业', 'E_企业', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24,"['戴', '冉', '，', '男', '，', '1', '9', '6', '4', '年', '7', '月', '生', '，', '1', '9', '8', '6', '年', '毕', '业', '于', '大', '连', '海', '运', '学', '院', '航', '海', '系', '，', '副', '教', '授', '、', '硕', '士', '生', '导', '师']","['B_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_学校', 'M_学校', 'M_学校', 'M_学校', 'M_学校', 'E_学校', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['赵', '君', '，', '男', '，', '汉', '族', '，', '1', '9', '6', '6', '年', '8', '月', '生', '，', '河', '北', '定', '州', '人', '，', '中', '共', '党', '员', '，', '博', '士', '，', '教', '授', '，', '博', '士', '生', '导', '师']","['B_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_地点', 'M_地点', 'M_地点', 'E_地点', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26,"['个', '人', '介', '绍', '革', '命', '家', '庭', '的', '才', '女', '家', '庭', '背', '景', '赵', '世', '兰', '，', '1', '8', '9', '6', '年', '生', '于', '四', '川', '酉', '阳', '县', '（', '古', '称', '“', '酉', '阳', '州', '”', '，', '现', '属', '重', '庆', '直', '辖', '市', '）', '的', '龙', '潭', '镇']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_地点', 'M_地点', 'M_地点', 'M_地点', 'E_地点', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
27,"['《', '重', '生', '之', '超', '级', '经', '纪', '人', '》', '是', '蒋', '瑶', '创', '作', '的', '网', '络', '小', '说', '，', '发', '表', '于', '起', '点', '网']","['O', 'B_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'M_网络小说', 'E_网络小说', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_网站', 'M_网站', 'E_网站']"
28,"['张', '廷', '智', '，', ' ', '毕', '业', '于', '大', '连', '军', '医', '学', '院', '，', '从', '事', '中', '医', '治', '疗', '中', '晚', '期', '肿', '瘤', '临', '床', '工', '作', '3', '0', '余', '年']","['B_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'B_学校', 'M_学校', 'M_学校', 'M_学校', 'M_学校', 'E_学校', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
29,"['《', '蛋', '疼', '的', '龙', '祥', '》', '是', '无', '名', '编', '剧', '兼', '导', '演', '兼', '监', '制', '—', '小', 'c', '的', '一', '部', '搞', '笑', '喜', '剧', '片', '，', '此', '剧', '单', '集', '平', '均', '收', '视', '率', '0']","['O', 'B_影视作品', 'M_影视作品', 'M_影视作品', 'M_影视作品', 'E_影视作品', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
30,"['尼', '克', '·', '皮', '佐', '拉', '托', '（', 'n', 'i', 'c', 'p', 'i', 'z', 'z', 'o', 'l', 'a', 't', 't', 'o', '）', '美', '国', '电', '影', '演', '员', '，', '1', '9', '7', '5', '年', '出', '生', '于', '美', '国', '路', '易', '斯', '安', '那', '州', '新', '奥', '尔', '良', '，', '毕', '业', '于', '阿', '肯', '色', '大', '学', '和', '路', '易', '斯', '安', '那', '州', '立', '大', '学']","['B_人物', 'M_人物', 'M_人物', 'M_人物', 'M_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_国家', 'E_国家', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
31,"['俞', '恩', '焕', ' ', ' ', '[', '明', ']', '字', '二', '酉', '，', '浙', '江', '平', '湖', '诸', '生']","['B_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_地点', 'M_地点', 'M_地点', 'M_地点', 'M_地点', 'E_地点']"
32,"['个', '人', '简', '介', '区', '家', '伟', '，', '男', '，', '2', '0', '1', '0', '年', '广', '州', '亚', '运', '会', '中', '国', '澳', '门', '代', '表', '团', '成', '员']","['O', 'O', 'O', 'O', 'B_人物', 'M_人物', 'E_人物', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_国家', 'E_国家', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
