comment,emo
"5,抓紧出新款吧.现在直接没关注度了.",负向
"红旗保有量很小吧,在上海好像就2家4s店,",负向
"单看这个配置不错,但是同样价位,我可能会买顶配版的汉兰达,毕竟口碑 保有量有大量数据支撑.",负向
这车现在就差保有量了,负向
保有量少的可怜D83DDE05,负向
"三五年后,保有量大了,满街都是,就那回事了",负向
"定价是定价,售价是售价!如果拿着定价当真实售价卖,那就算了.这么贵的车子,配件和工时费肯定不低,如果车子的质量稳定性出现问题,后期的花费会令你怀疑人生.再者保有量小4s店不多,出了问题需要4s店解决的时候就麻烦了!即使到了4s店什么时候能修好和修了这里坏那里可就蒙b了",中性
啥意思?现在HS7有人当二手车卖了?他的意思是红旗保有量少,负向
"4s店说,不着急用车推后两个月提车可以优惠五六千",正向
"HS5还是可以,我看了的,就是没有试驾",负向
我这边没有智联版车型,负向
智联版多些什么?你有没有详细看过,负向
"我本来想选黑灰,灰色跟米白差不多.销售说容易被衣服裤子染色",负向
鬼知道是不是销售的套路啊,负向
 型动的轮毂太丑了,负向
"这么大的车,油耗在10个左右能接受的",正向
曲靖红旗4s店全系可以优惠16000,正向
油耗不高,正向
今天在路上看到了  前脸好看  尾部不好看,负向
我觉得挺好的油耗起初是有点高还在磨合期,负向
"裸车价13个多一点还是可以的,可惜手机没钱",正向
mkc内饰太丑了,负向
耗油也不是他们说的那么高,正向
油耗怎么可能那么高,负向
4S店比较偏人,负向
人不多 直接过去应该就可以试驾到,负向
"什么配置,差不多花了多少钱!",负向
"我妈想买凯迪拉克,我觉得太一般了,反而喜欢这个",正向
销售说容易被牛仔裤之类的染色,负向
"本来内饰想要黑灰的,那个灰更接近米白,撞色也好看",正向
试驾要预约还是直接可以去,正向
" 对啊,你被销售套路了",负向
就是全款落地的价格,正向
" 还行吧,个人赶紧中配比较好的",正向
除了油耗偏高点,负向
19款没毛病!,负向
别人说型动版音响不行啊,负向
红酒杯车标帅的一比,正向
19款  方向盘车标实在难看,负向
"中不中用先不说,毕竟三大件跟别人没得比,关键小细节都做不好",负向
红旗这车做工感觉跟帝豪一个档次,负向
"我主要是看上他的4年免费保养,",正向
就怕经常出小毛病,负向
"外观不行,谈事情成功率不高",负向
回来我要把车标换成H7的,中性
车外观挺好,正向
车动力挺好,正向
车空间挺好,正向
"本来想着买型动版的,就是轮毂太丑了,打算买智联灵动版的",负向
求购个红旗车标.带灯的要长要大的,中性
不跑偏的车你把手放到方向盘你放松的.不用力的,正向
"但是13万多点买灵动,就别挑剔那么多了,我感觉价位就可以了",正向
"说配8速变速箱成本就高了,这个价格就不行了.",中性
1.8T发动机配6速变速箱不匹配.所以脱档,负向
昨天不是说受不了那个起步吗,负向
 昨晚还说提速延迟,负向
请问:预订此款车多长时间能提车?,负向
红旗D83DDEA9如果油耗不高的话可以考虑吧,负向
提速踩油门延迟1.5秒怎么说,负向
提速反正慢半拍,负向
" 理论如是,但红旗智联软件不是十分灵光.",负向
" 除了油耗,其他没的说",负向
" 堵车山路油耗高,正常速度七八个",中性
"沃尔沃有些后期保养,可以在其他店里做,便宜多了.",负向
"2019款的,裸车价28万左右.",中性
他唯一不喜欢的就是红旗不是真皮座椅,负向
你老爸应该喜欢这种造型.,负向
"一般的车,多少都有些毛病或者缺陷.",负向
"四年免费质保,三大件终身质保.",正向
"2.35吨哦,那用料还是扎实,这个重量3.0T机械增压,跑7.8可以理解",正向
"好些天没逛HS7论坛,然而今天路过看到...怎么都第一页都是4月5月的帖子什么鬼?这是已经凉凉了吗?唉上市前我也老在关注,上市后发现连低配都买不起",负向
"本来很想捧场红旗的,怎奈HS5很年轻很好看的设计但没有想要的7座",负向
"你可以在在小熊油耗里面查到相关的数据,上万车主的实际油耗里面都有,我觉得对很有价值.您这回答最佳授之以渔,而非无根据的给结论.赞一个!",正向
"众泰都不敢说自己散架这也太看扁红旗了卖车的都不会说自家车的不足,只有消费者才说实话.俺这车还是四驱顶配只适合柏油路,水泥及泥石路滤振太差,俺这的路就是不好,体会最多.",负向
"你可以在在小熊油耗里面查到相关的数据,上万车主的实际油耗里面都有,我觉得对很有价值.",正向
"油耗这东西是动态的,随着不同的行驶均速变化,如果能在经济时速下行驶也可以很低,在城区拥堵道路行驶哪个车都会比较高.个人驾驶习惯也会影响油耗.另外,即使是同样一箱油,相同的行驶均速也会有不同的油耗表现.因此,油耗多少最主要的是看行驶均速是多少,还有就是行驶里程是多少(比如一箱油).",正向
"全国统一价格,要是你买便宜了我立马去找4S去,我要了全车垫没有尾箱垫,行车记录仪,车模,还有两个摆件.",负向
"顶楼主,荣威主打忽悠,最垃圾的就是售后,用料绝对没有红旗有良心,所谓的各种高科技就是换钱的筹码,其实又没多少用还容易出毛病,三大件除了发动机还好,别的呵呵了.有次由此业务需要坐了一位广告公司员工的荣威车,型号没问,真是握草了,空调的风机跟个拖拉机似的,吓死我了",正向
"买四驱一般都有考虑.自己也想了很久,一时中配,一时顶配.最后考虑三点:1.红旗系列毕竟刚上市,国家的汽车底蕴相对少些,也可以说起步晚些.需要发展的时间,当然更需要国民的支持.",正向
"2.电子技术配置多有好也有坏,电子高科技相对稳定性上差些.",负向
"3.毕竟落地差了4万.综合这三点,选择了中配四驱.当然,如果实力允许,顶配也不会让你失望,可调悬架值这个钱.大问题不会有的,一个是支持国家高质量发展战略,还有就是一汽董事长是政治家,不是资本家.真有普遍性大问题,他的政治身涯就结束了!国家需要支持,有能力为什么不呢!",正向
"高功发动机可能这个变速箱都不能用了,180千瓦,380牛米低配版HS7和全新H7用的",负向
"红旗2.0T发动机有高功的,但是为新H7和HS7低配准备的,HS5要用得等中期改款吧...",中性
"HS5高功率版本会有的,你没看见HS5-HS7之间有个10万的空档吗?那是红旗早点设定好的,应该是2.08AT",中性
"aei6q9xaf2019082516:49:36发表在地板我觉得你这个价格可以了,你可以谈送的东西,一般不要送什么行车记录仪啊,什么的,都不好的,最实惠的送保养!4年免费保养了解一下",负向
"我去店里看过R5M,我可以负责任的给你答案.无论是1.5通用6at,2.0双离合,与一般的自主品牌比都没有优势!通用6at根本没资格与爱信的相比,双离合更不用说了!底盘用的冲压件与铝合金差三个档次.三大件不够,科技配置来凑,所谓的人脸识别就是十足的噱头,卖的贵的价格就买那点噱头???另外R5M的空间优势也不明显,看数据不小,实际体验和紧凑级没什么区别.如果预算够直接上HS5,理由不多说.预算不够,考虑75plus,蓝鲸爱信8AT秒杀荣威,外观半斤八两!希望能帮到你!总结很到位......",正向
"我去店里看过R5M,我可以负责任的给你答案.无论是1.5通用6at,2.0双离合,与一般的自主品牌比都没有优势!通用6at根本没资格与爱信的相比,双离合更不用说了!底盘用的冲压件与铝合金差三个档次.三大件不够,科技配置来凑,所谓的人脸识别就是十足的噱头,卖的贵的价格就买那点噱头???另外R5M的空间优势也不明显,看数据不小,实际体验和紧凑级没什么区别.如果预算够直接上HS5,理由不多说.预算不够,考虑75plus,蓝鲸爱信8AT秒杀荣威,外观半斤八两!希望能帮到你!总结很到位......",中性
"哈哈,一个地方订的,我两驱中配,销售说九月中旬或者九月底到,好漫长啊,刚过一个月不错了,销售跟我说这车我得等到十月底了…",负向
"和和乐乐2019082401:22:46发表在主楼该车上市时间还短,论坛上提车作业不多.发现当前已购HS7的不少是奔驰宝马车主(至少已有四五个了,基本都是E和5系),评价也都还不错.之前那帮就知道破口大骂什么“价格高得离谱,一个月卖不了几十台“的人,差不多都该走远点去了.奉劝一句:别揣着二十几万预算就非得买这3.0增压V6带空气悬挂5米长的C级SUV了,这车有他的受众群体,不一定非得适合你们.四五十万的红旗真不是什么“豪车”,喜欢就多关注一下,适合自己就买,不适合也有大把各样车型,品牌随你选择.买红旗有自己的理由,是不是为情怀买单,各有分寸,个人自由.轮不到不相干的人整天泼酸水.这车...顶楼主我所在城市的红旗馆销售说这车他们店里一直处于缺货状态我朋友刚买HS5",正向
"目前这个车全国都没有优惠,落地价格不同店也差不到1,2千块钱.",中性
"顶楼主,荣威主打忽悠,最垃圾的就是售后,用料绝对没有红旗有良心,所谓的各种高科技就是换钱的筹码,其实又没多少用还容易出毛病,三大件除了发动机还好,别的呵呵了.懂车之人!荣威也就发动机还勉强可以!",正向
"我是第13,000辆以后异响什么的真没有.还有好多的键盘侠,连车都没见过,让他们说去吧.你啥时候订车的?什么提车的?",正向
试驾过了很不错,正向
"这车和哈弗F72.0T哪个好点?红旗2.0发动机是国产最好的.各方面技术参数,以及热效率.",正向
销量不高的情况下做这个车就会增加成本!,负向
"夏老师试驾也反应了装配问题,应该是零件之间卡的有一点点不够紧密.是哪个视频,是夏冬的吗?",负向
"开红旗祸害大波浪2019082321:22:02发表在地板和我开始一样纠结四驱中配但是少了很多顶配两驱的配置两驱顶配又没有了四驱后来想明白了四驱顶配解决了纠结!完美!!全速自适应巡航悬架软硬调节自适应远近光流媒体后视镜最重要的是那些主动安全配置多的安全保障不是用金钱来衡量的!也是新手老司机另当别论.我跟你一样,最后选了四驱顶配",正向
"开红旗祸害大波浪2019082321:22:02发表在地板和我开始一样纠结四驱中配但是少了很多顶配两驱的配置两驱顶配又没有了四驱后来想明白了四驱顶配解决了纠结!完美!!全速自适应巡航悬架软硬调节自适应远近光流媒体后视镜最重要的是那些主动安全配置多的安全保障不是用金钱来衡量的!也是新手老司机另当别论.我跟你一样,最后选了四驱顶配",中性
"自己可以先去试驾一下,感受一下车子的性能,来论坛里问这种问题老实说对你帮助不大,100个人有100种感受",正向
"不是我黑这车,品牌,配置,价位都没问题,主要在于装配及调校还需要提高,开起来到处异响,真不省心.架子晃浪晃浪的感觉会散架.兄弟排架号多少?",负向
"不是我黑这车,品牌,配置,价位都没问题,主要在于装配及调校还需要提高,开起来到处异响,真不省心.架子晃浪晃浪的感觉会散架.兄弟排架号多少?",正向
"终身质保,没有维护费用,给免费4年保养,保养也不用多花钱想多了兄弟,还相信什么终身保质呢,那个中控黑屏的都上头条了,咋不保.四年以后更扯蛋",负向
"我是第13,000辆以后异响什么的真没有.还有好多的键盘侠,连车都没见过,让他们说去吧.",正向
"自从加入了组织每天都有礼品拿!感谢汽车之家,感谢红旗圈小助手,感谢各位车友拉我进组织!每天下午参与话题就有礼品只要你参与就会有惊喜.每天下午整点抢红包送礼品,参与话题送礼品,没有回答问题送礼品,只有你想不到没有你拿不到,只要你敢来组织就敢送,下面是我进来一个月的部分礼品!还有大奖在路上,听说后续礼品会更丰富有32种之多!你还在等什么,心动不如行动,进来看看你吃不亏,进来看看你上不了当!我们在组织等着你,欢迎你的到来!这是第二波礼品!这是第三波礼品!这是第一波礼品!月榜大奖,红旗定制拉杆箱,彰显你尊贵的红旗身份!月榜大奖360行车记录仪!红旗笔记本,档次瞬间提升!红旗梦想之笔,有梦想就能实现!",正向
"内饰,空间都很牛逼",正向
我和你一样内饰和外面都黑色,中性
"我一直在看其他论坛啊,昨天路过发点感言,然后就触动到某些人的敏感神经竟然就直接高潮了,一段时间不来不知道这里都不允许感慨一下车贵买不起了~说实话我喜欢红旗,一直很喜欢,现在买不到想要车型的但总有一天也会实现这个开一辆红旗的愿景,HS7买不起HS5,H5这些还是手到擒来的.好些天没逛HS7论坛,然而今天路过看到...怎么都第一页都是4月5月的帖子什么鬼?这是已经凉凉了吗?唉上市前我也老在关注,上市后发现连低配都买不起,本来很想捧场红旗的,怎奈HS5很年轻很好看的设计但没有想要的7座,HS7有7座但我我买不起....等过个7年8年再换车的时候再来圆梦红旗,这是你写的吧?能不能不要偏题?左上角有最新的帖子和最后回复",负向
"我一直在看其他论坛啊,昨天路过发点感言,然后就触动到某些人的敏感神经竟然就直接高潮了,一段时间不来不知道这里都不允许感慨一下车贵买不起了~说实话我喜欢红旗,一直很喜欢,现在买不到想要车型的但总有一天也会实现这个开一辆红旗的愿景,HS7买不起HS5,H5这些还是手到擒来的.好些天没逛HS7论坛,然而今天路过看到...怎么都第一页都是4月5月的帖子什么鬼?这是已经凉凉了吗?唉上市前我也老在关注,上市后发现连低配都买不起,本来很想捧场红旗的,怎奈HS5很年轻很好看的设计但没有想要的7座,HS7有7座但我我买不起....等过个7年8年再换车的时候再来圆梦红旗,这是你写的吧?能不能不要偏题?左上角有最新的帖子和最后回复",正向
"我和你订的是同款同色对了,今天那已经到了三辆预订车,一辆内饰颜色是棕的,是您的不?",中性
"我7月16日订车,8月31日到期,销售说还在路上这时间有点长了啊销售妹子跟我说半个月左右,早来早提车,晚来留点时间倒腾倒腾钱,不着急",负向
"精品之类的那项还有3000的费用么?没有,是把车价的挪过去了",中性
"感觉这个标志不行,还是红旗两个字好.",负向
"这车标,只有深色才压得住气场...当然小青年可以选黄金,白色太显小了.昨天晚上路上看到一台HS7,开初还以为是HS5.黑丝显瘦,肉丝显胖",中性
"第一次去4S店看车,蓝色跟金色放一起,第一眼感觉金色的车短了一截,视觉感受不好",负向
"最好是在两个月之内,多跑一点里程,对发动机整体的磨合比较好,拉一下高速",中性
"losxhve2019082409:42:39发表在地板外形漂亮,关注内饰与性能,等更新性能不错",正向
"龙泽我也去看过,当时看车时,销售说提走了六七个,还有十几个等提车的哦,看来提车的一直有,又打了那些说凉了的一巴掌,不明白试驾车为啥一直不上牌,不能上路开.",正向
"龙泽我也去看过,当时看车时,销售说提走了六七个,还有十几个等提车的哦,看来提车的一直有,又打了那些说凉了的一巴掌,不明白试驾车为啥一直不上牌,不能上路开.",负向
"aks46edsa2019082411:06:33发表在地板貌似订车的都是在博瑞,龙泽那边怎么一个人都发过帖子?龙泽我也去看过,当时看车时,销售说提走了六七个,还有十几个等提车的",正向
"其实观望的人还是很多的,比如我,先等前面车主的体验出来再看看,而是目前提车等待时间太长了,置换的话,中间用车不方便了,所以一直很犹豫下手.",中性
"今天到4s店简单试驾了两圈,试驾车顶配,在园区内围着4s店转了两圈,急加速距离也很短,试驾时间很短,体会不出太多东西来,停车后试了试音响和空悬.简单说下感受,希望能对关注的朋友们有所帮助.大家关注的空悬情况,在过减速坎时,不减速不踩刹车的情况下,速度在四十左右,之前有车友形容是磕的感觉,我也是这种感觉,同样情况下后轮过坎时明显要柔和很多.在低速过减速坎时,感觉还可以,试驾时没有换驾驶模式,纯经济模式,不知道换模式后会不会好点,等提车后再试.急加速时因为距离太短,感觉换挡还比较平稳,不像我现在的蒙迪欧2.0T急加速时会有那种比较突兀的感觉,就是踩油门,速度一直提升,不像我的车,急加速会感觉发动机转速提升了,但速度会停一下的感觉.停车后试听音响用的我车上的u盘,mp3格式的,比我原车的效果好的太多,感觉声音浑厚多了,具体的不太会形容,大家见谅.至于空悬,开车后升起来时我没感觉到,停车后我特意降下来了,感觉下降速度还行,有放气的声音,具体能下降的高度没有测量,目测得有一拳左右吧.至于第二排空间,大家也都说过有点小,不像五米长的车子应有的,试驾前特意坐了坐xc90,纵向距离比xc90要长,感觉二排够用了,七座的第三排有点鸡肋,出行也用不上,订的五座.从车辆上市后,一直在车的配置,品控等方面横向比较,图昂,xt6都看过几次,探险者一直没国产,从现有同价位或同尺寸的车辆中,hs7对我来说,还是比较中意的,车无完车,找准自己的需求点就好.车子订完了,心里也踏实了,感觉这一个多月的煎熬也结束了,后面就等着提车交钱了.等提车用段时间后,再跟大家聊聊用车感受.把订单附上吧,省的有人说是拖.等着办理分期时用手机打字不容易,不管什么拖就别喷了.",负向
"今天到4s店简单试驾了两圈,试驾车顶配,在园区内围着4s店转了两圈,急加速距离也很短,试驾时间很短,体会不出太多东西来,停车后试了试音响和空悬.简单说下感受,希望能对关注的朋友们有所帮助.大家关注的空悬情况,在过减速坎时,不减速不踩刹车的情况下,速度在四十左右,之前有车友形容是磕的感觉,我也是这种感觉,同样情况下后轮过坎时明显要柔和很多.在低速过减速坎时,感觉还可以,试驾时没有换驾驶模式,纯经济模式,不知道换模式后会不会好点,等提车后再试.急加速时因为距离太短,感觉换挡还比较平稳,不像我现在的蒙迪欧2.0T急加速时会有那种比较突兀的感觉,就是踩油门,速度一直提升,不像我的车,急加速会感觉发动机转速提升了,但速度会停一下的感觉.停车后试听音响用的我车上的u盘,mp3格式的,比我原车的效果好的太多,感觉声音浑厚多了,具体的不太会形容,大家见谅.至于空悬,开车后升起来时我没感觉到,停车后我特意降下来了,感觉下降速度还行,有放气的声音,具体能下降的高度没有测量,目测得有一拳左右吧.至于第二排空间,大家也都说过有点小,不像五米长的车子应有的,试驾前特意坐了坐xc90,纵向距离比xc90要长,感觉二排够用了,七座的第三排有点鸡肋,出行也用不上,订的五座.从车辆上市后,一直在车的配置,品控等方面横向比较,图昂,xt6都看过几次,探险者一直没国产,从现有同价位或同尺寸的车辆中,hs7对我来说,还是比较中意的,车无完车,找准自己的需求点就好.车子订完了,心里也踏实了,感觉这一个多月的煎熬也结束了,后面就等着提车交钱了.等提车用段时间后,再跟大家聊聊用车感受.把订单附上吧,省的有人说是拖.等着办理分期时用手机打字不容易,不管什么拖就别喷了.",正向
"和和乐乐2019082401:22:46发表在主楼该车上市时间还短,论坛上提车作业不多.发现当前已购HS7的不少是奔驰宝马车主(至少已有四五个了,基本都是E和5系),评价也都还不错.之前那帮就知道破口大骂什么“价格高得离谱,一个月卖不了几十台“的人,差不多都该走远点去了.奉劝一句:别揣着二十几万预算就非得买这3.0增压V6带空气悬挂5米长的C级SUV了,这车有他的受众群体,不一定非得适合你们.四五十万的红旗真不是什么“豪车”,喜欢就多关注一下,适合自己就买,不适合也有大把各样车型,品牌随你选择.买红旗有自己的理由,是不是为情怀买单,各有分寸,个人自由.轮不到不相干的人整天泼酸水.这车...说得好",正向
"观望了很久,也加入了车主群,虽然听他们说什么异响等毛病,但还是很喜欢这车,空间,外形,内饰,真的太符合我需求,人生第一辆车,还拉着媳妇去订车,必须征求领导大人的支持和同意,进入了煎熬而又漫长的等车过程中…8月18订车,要10月31才能提车啊",负向
"观望了很久,也加入了车主群,虽然听他们说什么异响等毛病,但还是很喜欢这车,空间,外形,内饰,真的太符合我需求,人生第一辆车,还拉着媳妇去订车,必须征求领导大人的支持和同意,进入了煎熬而又漫长的等车过程中…8月18订车,要10月31才能提车啊",正向
"有车友说有后视镜壳一体的记录仪,马家酷轴,可以看看,我也再等他的显示效果.嗯,他家要自己动手安装,怕弄坏了啊",中性
"行车记录仪我认为是要装的.发动机下护板的安装有点纠结,装了担心散热不好,不装担心磕油底壳.谁来解解惑?没有必要装",中性
"我买的时候没有,户都是你的还安什么GPS啊.他们就是收了这个钱也不会真安上去的.我记错了,贷款手续费是可以打400举报他们的.厂家不让收没有贷款手续费,有贷款利息,但是官网标的是0利息,因为把利息补贴给经销商了",负向
"不是我黑这车,品牌,配置,价位都没问题,主要在于装配及调校还需要提高,开起来到处异响,真不省心.架子晃浪晃浪的感觉会散架.纯黑",负向
"买车我对舒适性的要求还是很高的,试了好多车HS5在20万SUV里舒适性是最好的.尤其是后排,座椅软硬正好,坐垫能包住大腿,高配头枕还都是航空头枕,靠上去比较厚实舒服.这待遇在同级车中还真是少.",正向
"今天坐了亲戚的H5,别说这车还真不错,不仅样子年轻大气,车内空间也宽敞,坐在里边不憋屈.座椅坐着很舒服,有通风功能,屁股底下凉飕飕的,高配车配置全就是享受.",正向
"外形漂亮,关注内饰与性能,等更新",正向
与小五结缘也有快四个月了!小五的表现我非常满意!来一张镇楼马赛克车牌不存在的光明正大亮出来天生自带光环!各项表现都非常满意!虽然有点小瑕疵完全可以接受!期待与你往后的日子!来了先秀梦想之笔!每个人都有一个梦想我也不例外你们的梦想是啥呢?家家的金属车标终于到手!我也算正真加入了!没这个车标总感觉不完美!现在到手了开心不知道贴在那里好你们给我参考参考提提意见接下来登场的是家家的镇家之物萌萌的很可爱!我家孩子爱不释手再来一个抱枕很柔软舒服!你们不想抱一个回去吗红旗定制网格优盘满满的高端大气!晒完大标再来个家家小翅膀!做工很好满满的喜爱来吧车友们把它带回家小米充电宝!出去玩再也不怕手机续航不行了小米车充双USB快充你值得拥有马克杯老铁们喝酒不喽一杯一杯那种哦4S店的姨妈牌记录仪终于下岗了!高清简洁看着就舒服你值得拥有车上还能缺了这玩意?瞌睡来了送枕头红旗让理想飞扬!定制笔记本满满的喜爱!一飞冲天琪宝拉杠箱漂亮同样希望红旗越来越好让越来越多的国人开上我们自己的车!我们一起见证红旗的成长!变化与启航!加油!加入车友圈认识很多人比如那些开红旗的靓仔!我都不想回家了哈哈里面个个都是人才!各种老司机!很喜欢里面的感觉!欢迎广大红旗车友加入礼品多多!谢谢家家送的礼物我很喜欢,正向
"这段时间没工作,回老家住了,昨天在小区里看到一台红旗HS7,不知道是谁开来的,第二天开走了.当时我对它印象很深刻,巨大的进气格栅,犀利的大灯,看到车尾后面的红旗两个字,我还以为是哪个大领导来了~今天路过红旗4s店,抓住机会进去瞅瞅,也上去坐了坐.HS7给我的感觉就是充满了中式豪华,实木饰板就像是古代木质建筑,棱形图案缝制的座椅就像古代房屋上的瓦片.韩泰的轮胎,大品牌,看着很薄,再搭配这副轮毂,大SUV也可以有运动感.今天还问了一下价格,40万的样子,对于我现在来说有点勉强啦,就看年底的时候能不能把项目做完,再把HS7收入囊中!",正向
"截至目前小红已经陪我走过了27,000公里,现在想起来,买它就像是昨天发生的事.不久前新款H5也上市了,虽然是红旗的入门级车型,但也是最走量的,看到它销量越来越好,论坛里的车友越来越多,我心里也很高兴自己这个选择.第1次把小红开回小区的时候,门口大爷问我是什么车,我说红旗,他说咋这么漂亮,哈哈,领导座驾能不漂亮么,只不过大爷想不到现在普通人也能坐了.H5的仪表盘虽然是传统机械式,不过中间液晶显示屏面积挺大,显示的信息也很丰富,比如车外温度,时间,续航里程等等,非常直观方便.方向盘上的按键不多,逻辑很清晰,用一次就能记住,开车时就可以盲按啦.",正向
"如果不是东北地区,像在中原地区啊,稍微往南一些的呀,要两区的车子就可以,四驱的话,后期的维护费用更高.终身质保,没有维护费用,给免费4年保养,保养也不用多花钱",正向
"这个话题在这个地方可能是要挨砖的,但是,这的确是我的一个选择.H5外观大气,内饰老气,动力保守,传动靠谱.GA6外观洋气,动力前卫,传动经典.但是后者新上市,价格无优势.两车都去试驾过,前者厚重个性不明显,后者轻巧驾驶也轻松.如果6的价格能在10个以下,我或许会考虑.5的最低配性价比不错,优惠下来13个多一点的确是诱人.如果都一手开上10年,我觉得H5可能会更皮实一些,所以我选择红旗.当然,选择红旗还有一个重要的原因是我现在的老爷车就是一辆03年的红旗世纪星,在这里可以置换补贴5000元.而且我也40多岁了,只是需要一辆安全舒适,四平八稳的轿车,所以它符合我的要求.等提车后再和大家聊聊",负向
